,subname,runs,nii_exists,rms_exists,rms_mean,rms_valid,rms_above_02,rms_above_02_valid
129,HCD0555146_V1_MR,rfMRI_REST1_PA,TRUE,TRUE,0.069115132,FALSE,0.016771488,FALSE
130,HCD0555146_V1_MR,rfMRI_REST2_AP,TRUE,TRUE,0.087085969,FALSE,0.014675052,FALSE
131,HCD0555146_V1_MR,rfMRI_REST2_PA,TRUE,TRUE,0.05065995,FALSE,0.008385744,FALSE
132,HCD0519849_V1_MR,rfMRI_REST1_AP,TRUE,TRUE,0.106056428,FALSE,0.096436059,FALSE
133,HCD0519849_V1_MR,rfMRI_REST1_PA,TRUE,TRUE,0.115977201,FALSE,0.106918239,FALSE
134,HCD0519849_V1_MR,rfMRI_REST2_AP,TRUE,TRUE,0.153253347,FALSE,0.140461216,FALSE
135,HCD0519849_V1_MR,rfMRI_REST2_PA,TRUE,TRUE,0.150255526,FALSE,0.153039832,FALSE
136,HCD1886275_V1_MR,rfMRI_REST1_AP,TRUE,TRUE,0.059777515,FALSE,0.004192872,FALSE
137,HCD1886275_V1_MR,rfMRI_REST1_PA,TRUE,TRUE,0.063646703,FALSE,0.008385744,FALSE
138,HCD1886275_V1_MR,rfMRI_REST2_AP,TRUE,TRUE,0.105166067,FALSE,0.041928721,FALSE
139,HCD1886275_V1_MR,rfMRI_REST2_PA,TRUE,TRUE,0.110780142,FALSE,0.100628931,FALSE
140,HCD1139541_V1_MR,rfMRI_REST1_AP,TRUE,TRUE,0.083345539,FALSE,0.048218029,FALSE
141,HCD1139541_V1_MR,rfMRI_REST1_PA,TRUE,TRUE,0.071214623,FALSE,0.033542977,FALSE
142,HCD1139541_V1_MR,rfMRI_REST2_AP,TRUE,TRUE,0.178891266,FALSE,0.285115304,TRUE
143,HCD1139541_V1_MR,rfMRI_REST2_PA,TRUE,TRUE,0.260231208,TRUE,0.303983229,TRUE
144,HCD1014723_V1_MR,rfMRI_REST1_AP,TRUE,TRUE,0.092907742,FALSE,0.018867925,FALSE
145,HCD1014723_V1_MR,rfMRI_REST1_PA,TRUE,TRUE,0.114150683,FALSE,0.098532495,FALSE
146,HCD1014723_V1_MR,rfMRI_REST2_AP,TRUE,TRUE,0.125893509,FALSE,0.100628931,FALSE
147,HCD1014723_V1_MR,rfMRI_REST2_PA,TRUE,TRUE,0.205724562,TRUE,0.448637317,TRUE
148,HCD1933864_V1_MR,rfMRI_REST1_AP,TRUE,TRUE,0.207694494,TRUE,0.259958071,TRUE
149,HCD1933864_V1_MR,rfMRI_REST1_PA,TRUE,TRUE,0.09543886,FALSE,0.050314465,FALSE
150,HCD1933864_V1_MR,rfMRI_REST2_AP,TRUE,TRUE,0.132766261,FALSE,0.178197065,FALSE
151,HCD1933864_V1_MR,rfMRI_REST2_PA,TRUE,TRUE,0.126506159,FALSE,0.153039832,FALSE
152,HCD2301428_V1_MR,rfMRI_REST1_AP,TRUE,TRUE,0.081676395,FALSE,0.012578616,FALSE
153,HCD2301428_V1_MR,rfMRI_REST1_PA,TRUE,TRUE,0.126406343,FALSE,0.178197065,FALSE
154,HCD2301428_V1_MR,rfMRI_REST2_AP,TRUE,TRUE,0.107298993,FALSE,0.075471698,FALSE
155,HCD2301428_V1_MR,rfMRI_REST2_PA,TRUE,TRUE,0.112829029,FALSE,0.07966457,FALSE
156,HCD1946873_V1_MR,rfMRI_REST1_AP,TRUE,TRUE,0.072936972,FALSE,0.008385744,FALSE
157,HCD1946873_V1_MR,rfMRI_REST1_PA,TRUE,TRUE,0.062740633,FALSE,0.004192872,FALSE
158,HCD1946873_V1_MR,rfMRI_REST2_AP,TRUE,TRUE,0.085936364,FALSE,0.018867925,FALSE
